RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,League
55," Gose, A",DET,CF,140,485,73,123,24,8,5,26,45,145,23,11,0.254,0.321,0.367,0.688,AL
56," Butler, B",OAK,DH,151,538,63,135,28,1,15,65,52,101,0,0,0.251,0.323,0.39,0.713,AL
57," Rodriguez, A",NYY,DH,151,523,83,131,22,1,33,86,84,145,4,0,0.25,0.356,0.486,0.842,AL
58," Bautista, J",TOR,RF,153,543,108,136,29,3,40,114,110,106,8,2,0.25,0.377,0.536,0.913,AL
59," Ramirez, A",CWS,SS,154,583,54,145,33,0,10,62,31,68,17,7,0.249,0.285,0.357,0.642,AL
60," Gattis, E",HOU,DH,153,566,66,139,20,11,27,88,30,119,0,1,0.246,0.285,0.463,0.748,AL
61," Sandoval, P",BOS,3B,126,470,43,115,25,1,10,47,25,73,0,0,0.245,0.292,0.366,0.658,AL
62," Plouffe, T",MIN,3B,152,573,74,140,35,4,22,86,50,124,2,1,0.244,0.307,0.435,0.742,AL
63," Pujols, A",LAA,1B,157,602,85,147,22,0,40,95,50,72,5,3,0.244,0.307,0.48,0.787,AL
64," Martin, R",TOR,C,129,441,76,106,23,2,23,77,53,106,4,5,0.24,0.329,0.458,0.787,AL
65," Hunter, T",MIN,RF,139,521,67,125,22,0,22,81,35,105,2,5,0.24,0.293,0.409,0.702,AL
66," Dozier, B",MIN,2B,157,628,101,148,39,4,28,77,61,148,12,4,0.236,0.307,0.444,0.751,AL
67," McCann, B",NYY,C,135,465,68,108,15,1,26,94,52,97,0,0,0.232,0.32,0.437,0.756,AL
68," Santana, C",CLE,1B,154,550,72,127,29,2,19,85,108,122,11,3,0.231,0.357,0.395,0.752,AL
69," Morrison, L",SEA,1B,146,457,47,103,15,3,17,54,47,81,8,4,0.225,0.302,0.383,0.685,AL
1," Gordon, D",MIA,2B,145,615,88,205,24,8,4,46,25,91,58,20,0.333,0.359,0.418,0.776,NL
2," Harper, B",WSH,RF,153,521,118,172,38,1,42,99,124,131,6,4,0.33,0.46,0.649,1.109,NL
3," Goldschmidt, P",ARI,1B,159,567,103,182,38,2,33,110,118,151,21,5,0.321,0.435,0.57,1.005,NL
4," Posey, B",SF,C,150,557,74,177,28,0,19,95,56,52,2,0,0.318,0.379,0.47,0.849,NL
5," Pollock, A",ARI,CF,157,609,111,192,39,6,20,76,53,89,39,7,0.315,0.367,0.498,0.865,NL
6," Escobar, Y",WSH,3B,139,535,75,168,25,1,9,56,45,70,2,2,0.314,0.375,0.415,0.79,NL
7," Votto, J",CIN,1B,158,545,95,171,33,2,29,80,143,135,11,3,0.314,0.459,0.541,1,NL
8," Peralta, D",ARI,LF,149,462,61,144,26,10,17,78,44,107,9,4,0.312,0.371,0.522,0.893,NL
9," Inciarte, E",ARI,RF,132,524,73,159,27,5,6,45,26,58,21,10,0.303,0.338,0.408,0.747,NL
10," LeMahieu, D",COL,2B,150,564,85,170,21,5,6,61,50,107,23,3,0.301,0.358,0.388,0.746,NL
11," Yelich, C",MIA,LF,126,476,63,143,30,2,7,44,47,101,16,5,0.3,0.366,0.416,0.782,NL
12," Herrera, O",PHI,CF,147,495,64,147,30,3,8,41,28,129,16,8,0.297,0.344,0.418,0.762,NL
13," Markakis, N",ATL,RF,156,612,73,181,38,1,3,53,70,83,2,1,0.296,0.37,0.376,0.746,NL
14," Duffy, M",SF,3B,149,573,77,169,28,6,12,77,30,96,12,0,0.295,0.334,0.428,0.762,NL
15," Cervelli, F",PIT,C,130,451,56,133,17,5,7,43,46,94,1,1,0.295,0.37,0.401,0.771,NL
16," Phillips, B",CIN,2B,148,588,69,173,19,2,12,70,27,68,23,3,0.294,0.328,0.395,0.723,NL
17," Heyward, J",STL,RF,154,547,79,160,33,4,13,60,56,90,23,3,0.293,0.359,0.439,0.797,NL
18," McCutchen, A",PIT,CF,157,566,91,165,36,3,23,96,98,133,11,5,0.292,0.401,0.488,0.889,NL
19," Prado, M",MIA,3B,129,500,52,144,22,2,9,63,37,68,1,0,0.288,0.338,0.394,0.732,NL
20," Arenado, N",COL,3B,157,616,97,177,43,4,42,130,34,110,2,5,0.287,0.323,0.575,0.898,NL
21," Marte, S",PIT,LF,153,579,84,166,30,2,19,81,27,123,30,10,0.287,0.337,0.444,0.78,NL
22," Blackmon, C",COL,CF,157,614,93,176,31,9,17,58,46,112,43,13,0.287,0.347,0.45,0.797,NL
23," Braun, R",MIL,RF,140,506,87,144,27,3,25,84,54,115,24,4,0.285,0.356,0.498,0.854,NL
24," Murphy, D",NYM,2B,130,499,56,140,38,2,14,73,31,38,2,2,0.281,0.322,0.449,0.77,NL
25," Belt, B",SF,1B,137,492,73,138,33,5,18,68,56,147,9,3,0.28,0.356,0.478,0.834,NL
26," Rizzo, A",CHC,1B,160,586,94,163,38,3,31,101,78,105,17,6,0.278,0.387,0.512,0.899,NL
27," Lind, A",MIL,1B,149,502,72,139,32,0,20,87,66,100,0,0,0.277,0.36,0.46,0.82,NL
28," Bryant, K",CHC,3B,151,559,87,154,31,5,26,99,77,199,13,4,0.275,0.369,0.488,0.858,NL
29," Gonzalez, A",LAD,1B,156,571,76,157,33,0,28,90,62,107,0,1,0.275,0.35,0.48,0.83,NL
30," Peralta, J",STL,SS,155,579,64,159,26,1,17,71,50,111,1,4,0.275,0.334,0.411,0.745,NL
31," Carpenter, M",STL,3B,154,574,101,156,44,3,28,84,81,151,4,3,0.272,0.365,0.505,0.871,NL
32," Gonzalez, C",COL,RF,153,554,87,150,25,2,40,97,46,133,2,0,0.271,0.325,0.54,0.864,NL
33," Molina, Y",STL,C,136,488,34,132,23,2,4,61,32,59,3,1,0.27,0.31,0.35,0.66,NL
34," Solarte, Y",SD,3B,152,526,63,142,33,4,14,63,34,56,1,0,0.27,0.32,0.428,0.748,NL
35," Walker, N",PIT,2B,151,543,69,146,32,3,16,71,44,110,4,1,0.269,0.328,0.427,0.756,NL
36," Maybin, C",ATL,CF,141,505,65,135,18,2,10,59,45,102,23,6,0.267,0.327,0.37,0.697,NL
37," Simmons, A",ATL,SS,147,535,60,142,23,2,4,44,39,48,5,3,0.265,0.321,0.338,0.66,NL
